mode,rel_ba_pct,p,lr,steps,seed,pairs_csv,bh_macro,model_dir
ilm,10.0,0.9090909090909091,1e-05,10,0,runs/ilm_wt2_p091_lr1e-05_s0_t10/bh_ilm_p091_lr1e-05_s0_t10.csv,0.661625651807139,runs/ilm_wt2_p091_lr1e-05_s0_t10
erm,10.0,0.9090909090909091,1e-05,10,0,runs/erm_wt2_p091_lr1e-05_s0_t10/bh_erm_p091_lr1e-05_s0_t10.csv,0.6667679047870823,runs/erm_wt2_p091_lr1e-05_s0_t10
ilm,10.0,0.9090909090909091,1e-05,10,1,runs/ilm_wt2_p091_lr1e-05_s1_t10/bh_ilm_p091_lr1e-05_s1_t10.csv,0.659902264053941,runs/ilm_wt2_p091_lr1e-05_s1_t10
erm,10.0,0.9090909090909091,1e-05,10,1,runs/erm_wt2_p091_lr1e-05_s1_t10/bh_erm_p091_lr1e-05_s1_t10.csv,0.6657526727173138,runs/erm_wt2_p091_lr1e-05_s1_t10
ilm,10.0,0.9090909090909091,1e-05,10,2,runs/ilm_wt2_p091_lr1e-05_s2_t10/bh_ilm_p091_lr1e-05_s2_t10.csv,0.6661900021090672,runs/ilm_wt2_p091_lr1e-05_s2_t10
erm,10.0,0.9090909090909091,1e-05,10,2,runs/erm_wt2_p091_lr1e-05_s2_t10/bh_erm_p091_lr1e-05_s2_t10.csv,0.6606813008211846,runs/erm_wt2_p091_lr1e-05_s2_t10
ilm,10.0,0.9090909090909091,1e-05,10,3,runs/ilm_wt2_p091_lr1e-05_s3_t10/bh_ilm_p091_lr1e-05_s3_t10.csv,0.6614755515407812,runs/ilm_wt2_p091_lr1e-05_s3_t10
erm,10.0,0.9090909090909091,1e-05,10,3,runs/erm_wt2_p091_lr1e-05_s3_t10/bh_erm_p091_lr1e-05_s3_t10.csv,0.6583616513876918,runs/erm_wt2_p091_lr1e-05_s3_t10
ilm,10.0,0.9090909090909091,1e-05,10,4,runs/ilm_wt2_p091_lr1e-05_s4_t10/bh_ilm_p091_lr1e-05_s4_t10.csv,0.6595796222458473,runs/ilm_wt2_p091_lr1e-05_s4_t10
erm,10.0,0.9090909090909091,1e-05,10,4,runs/erm_wt2_p091_lr1e-05_s4_t10/bh_erm_p091_lr1e-05_s4_t10.csv,0.6624977383960241,runs/erm_wt2_p091_lr1e-05_s4_t10
ilm,10.0,0.9090909090909091,1e-05,50,0,runs/ilm_wt2_p091_lr1e-05_s0_t50/bh_ilm_p091_lr1e-05_s0_t50.csv,0.6537874032473004,runs/ilm_wt2_p091_lr1e-05_s0_t50
erm,10.0,0.9090909090909091,1e-05,50,0,runs/erm_wt2_p091_lr1e-05_s0_t50/bh_erm_p091_lr1e-05_s0_t50.csv,0.6757427746171942,runs/erm_wt2_p091_lr1e-05_s0_t50
ilm,10.0,0.9090909090909091,1e-05,50,1,runs/ilm_wt2_p091_lr1e-05_s1_t50/bh_ilm_p091_lr1e-05_s1_t50.csv,0.6590221424024598,runs/ilm_wt2_p091_lr1e-05_s1_t50
erm,10.0,0.9090909090909091,1e-05,50,1,runs/erm_wt2_p091_lr1e-05_s1_t50/bh_erm_p091_lr1e-05_s1_t50.csv,0.683327169959033,runs/erm_wt2_p091_lr1e-05_s1_t50
ilm,10.0,0.9090909090909091,1e-05,50,2,runs/ilm_wt2_p091_lr1e-05_s2_t50/bh_ilm_p091_lr1e-05_s2_t50.csv,0.6542152413052391,runs/ilm_wt2_p091_lr1e-05_s2_t50
erm,10.0,0.9090909090909091,1e-05,50,2,runs/erm_wt2_p091_lr1e-05_s2_t50/bh_erm_p091_lr1e-05_s2_t50.csv,0.6740121103622454,runs/erm_wt2_p091_lr1e-05_s2_t50
ilm,10.0,0.9090909090909091,1e-05,50,3,runs/ilm_wt2_p091_lr1e-05_s3_t50/bh_ilm_p091_lr1e-05_s3_t50.csv,0.651202585330756,runs/ilm_wt2_p091_lr1e-05_s3_t50
erm,10.0,0.9090909090909091,1e-05,50,3,runs/erm_wt2_p091_lr1e-05_s3_t50/bh_erm_p091_lr1e-05_s3_t50.csv,0.6672391411952039,runs/erm_wt2_p091_lr1e-05_s3_t50
ilm,10.0,0.9090909090909091,1e-05,50,4,runs/ilm_wt2_p091_lr1e-05_s4_t50/bh_ilm_p091_lr1e-05_s4_t50.csv,0.650392284655717,runs/ilm_wt2_p091_lr1e-05_s4_t50
erm,10.0,0.9090909090909091,1e-05,50,4,runs/erm_wt2_p091_lr1e-05_s4_t50/bh_erm_p091_lr1e-05_s4_t50.csv,0.6784397509334966,runs/erm_wt2_p091_lr1e-05_s4_t50
ilm,10.0,0.9090909090909091,1e-05,100,0,runs/ilm_wt2_p091_lr1e-05_s0_t100/bh_ilm_p091_lr1e-05_s0_t100.csv,0.653291254444821,runs/ilm_wt2_p091_lr1e-05_s0_t100
erm,10.0,0.9090909090909091,1e-05,100,0,runs/erm_wt2_p091_lr1e-05_s0_t100/bh_erm_p091_lr1e-05_s0_t100.csv,0.6725242441851874,runs/erm_wt2_p091_lr1e-05_s0_t100
ilm,10.0,0.9090909090909091,1e-05,100,1,runs/ilm_wt2_p091_lr1e-05_s1_t100/bh_ilm_p091_lr1e-05_s1_t100.csv,0.6562450128956309,runs/ilm_wt2_p091_lr1e-05_s1_t100
erm,10.0,0.9090909090909091,1e-05,100,1,runs/erm_wt2_p091_lr1e-05_s1_t100/bh_erm_p091_lr1e-05_s1_t100.csv,0.6859982938776213,runs/erm_wt2_p091_lr1e-05_s1_t100
ilm,10.0,0.9090909090909091,1e-05,100,2,runs/ilm_wt2_p091_lr1e-05_s2_t100/bh_ilm_p091_lr1e-05_s2_t100.csv,0.6430098511209889,runs/ilm_wt2_p091_lr1e-05_s2_t100
erm,10.0,0.9090909090909091,1e-05,100,2,runs/erm_wt2_p091_lr1e-05_s2_t100/bh_erm_p091_lr1e-05_s2_t100.csv,0.6839874712014424,runs/erm_wt2_p091_lr1e-05_s2_t100
ilm,10.0,0.9090909090909091,1e-05,100,3,runs/ilm_wt2_p091_lr1e-05_s3_t100/bh_ilm_p091_lr1e-05_s3_t100.csv,0.6267011751727499,runs/ilm_wt2_p091_lr1e-05_s3_t100
erm,10.0,0.9090909090909091,1e-05,100,3,runs/erm_wt2_p091_lr1e-05_s3_t100/bh_erm_p091_lr1e-05_s3_t100.csv,0.666821858655244,runs/erm_wt2_p091_lr1e-05_s3_t100
ilm,10.0,0.9090909090909091,1e-05,100,4,runs/ilm_wt2_p091_lr1e-05_s4_t100/bh_ilm_p091_lr1e-05_s4_t100.csv,0.6508736848700837,runs/ilm_wt2_p091_lr1e-05_s4_t100
erm,10.0,0.9090909090909091,1e-05,100,4,runs/erm_wt2_p091_lr1e-05_s4_t100/bh_erm_p091_lr1e-05_s4_t100.csv,0.6764833922701045,runs/erm_wt2_p091_lr1e-05_s4_t100
ilm,10.0,0.9090909090909091,1e-05,200,0,runs/ilm_wt2_p091_lr1e-05_s0_t200/bh_ilm_p091_lr1e-05_s0_t200.csv,0.635912638803226,runs/ilm_wt2_p091_lr1e-05_s0_t200
erm,10.0,0.9090909090909091,1e-05,200,0,runs/erm_wt2_p091_lr1e-05_s0_t200/bh_erm_p091_lr1e-05_s0_t200.csv,0.6785560238676106,runs/erm_wt2_p091_lr1e-05_s0_t200
ilm,10.0,0.9090909090909091,1e-05,200,1,runs/ilm_wt2_p091_lr1e-05_s1_t200/bh_ilm_p091_lr1e-05_s1_t200.csv,0.6377814848953338,runs/ilm_wt2_p091_lr1e-05_s1_t200
erm,10.0,0.9090909090909091,1e-05,200,1,runs/erm_wt2_p091_lr1e-05_s1_t200/bh_erm_p091_lr1e-05_s1_t200.csv,0.6723292411474675,runs/erm_wt2_p091_lr1e-05_s1_t200
ilm,10.0,0.9090909090909091,1e-05,200,2,runs/ilm_wt2_p091_lr1e-05_s2_t200/bh_ilm_p091_lr1e-05_s2_t200.csv,0.627167285222175,runs/ilm_wt2_p091_lr1e-05_s2_t200
erm,10.0,0.9090909090909091,1e-05,200,2,runs/erm_wt2_p091_lr1e-05_s2_t200/bh_erm_p091_lr1e-05_s2_t200.csv,0.6771485127768915,runs/erm_wt2_p091_lr1e-05_s2_t200
ilm,10.0,0.9090909090909091,1e-05,200,3,runs/ilm_wt2_p091_lr1e-05_s3_t200/bh_ilm_p091_lr1e-05_s3_t200.csv,0.6266615967745198,runs/ilm_wt2_p091_lr1e-05_s3_t200
erm,10.0,0.9090909090909091,1e-05,200,3,runs/erm_wt2_p091_lr1e-05_s3_t200/bh_erm_p091_lr1e-05_s3_t200.csv,0.671343903637601,runs/erm_wt2_p091_lr1e-05_s3_t200
ilm,10.0,0.9090909090909091,1e-05,200,4,runs/ilm_wt2_p091_lr1e-05_s4_t200/bh_ilm_p091_lr1e-05_s4_t200.csv,0.6423676995710139,runs/ilm_wt2_p091_lr1e-05_s4_t200
erm,10.0,0.9090909090909091,1e-05,200,4,runs/erm_wt2_p091_lr1e-05_s4_t200/bh_erm_p091_lr1e-05_s4_t200.csv,0.6710313309721075,runs/erm_wt2_p091_lr1e-05_s4_t200
ilm,10.0,0.9090909090909091,1e-05,1000,0,runs/ilm_wt2_p091_lr1e-05_s0_t1000/bh_ilm_p091_lr1e-05_s0_t1000.csv,0.5793321131645572,runs/ilm_wt2_p091_lr1e-05_s0_t1000
erm,10.0,0.9090909090909091,1e-05,1000,0,runs/erm_wt2_p091_lr1e-05_s0_t1000/bh_erm_p091_lr1e-05_s0_t1000.csv,0.6683848355156191,runs/erm_wt2_p091_lr1e-05_s0_t1000
ilm,10.0,0.9090909090909091,1e-05,1000,1,runs/ilm_wt2_p091_lr1e-05_s1_t1000/bh_ilm_p091_lr1e-05_s1_t1000.csv,0.582082042558777,runs/ilm_wt2_p091_lr1e-05_s1_t1000
erm,10.0,0.9090909090909091,1e-05,1000,1,runs/erm_wt2_p091_lr1e-05_s1_t1000/bh_erm_p091_lr1e-05_s1_t1000.csv,0.6807421744007297,runs/erm_wt2_p091_lr1e-05_s1_t1000
ilm,10.0,0.9090909090909091,1e-05,1000,2,runs/ilm_wt2_p091_lr1e-05_s2_t1000/bh_ilm_p091_lr1e-05_s2_t1000.csv,0.5855334527356345,runs/ilm_wt2_p091_lr1e-05_s2_t1000
erm,10.0,0.9090909090909091,1e-05,1000,2,runs/erm_wt2_p091_lr1e-05_s2_t1000/bh_erm_p091_lr1e-05_s2_t1000.csv,0.6761298465903753,runs/erm_wt2_p091_lr1e-05_s2_t1000
ilm,10.0,0.9090909090909091,1e-05,1000,3,runs/ilm_wt2_p091_lr1e-05_s3_t1000/bh_ilm_p091_lr1e-05_s3_t1000.csv,0.5904474949851499,runs/ilm_wt2_p091_lr1e-05_s3_t1000
erm,10.0,0.9090909090909091,1e-05,1000,3,runs/erm_wt2_p091_lr1e-05_s3_t1000/bh_erm_p091_lr1e-05_s3_t1000.csv,0.6646756917992361,runs/erm_wt2_p091_lr1e-05_s3_t1000
ilm,10.0,0.9090909090909091,1e-05,1000,4,runs/ilm_wt2_p091_lr1e-05_s4_t1000/bh_ilm_p091_lr1e-05_s4_t1000.csv,0.5974810657407449,runs/ilm_wt2_p091_lr1e-05_s4_t1000
erm,10.0,0.9090909090909091,1e-05,1000,4,runs/erm_wt2_p091_lr1e-05_s4_t1000/bh_erm_p091_lr1e-05_s4_t1000.csv,0.6622046009703928,runs/erm_wt2_p091_lr1e-05_s4_t1000
ilm,10.0,0.9090909090909091,1e-05,2500,0,runs/ilm_wt2_p091_lr1e-05_s0_t2500/bh_ilm_p091_lr1e-05_s0_t2500.csv,0.5331013045019316,runs/ilm_wt2_p091_lr1e-05_s0_t2500
erm,10.0,0.9090909090909091,1e-05,2500,0,runs/erm_wt2_p091_lr1e-05_s0_t2500/bh_erm_p091_lr1e-05_s0_t2500.csv,0.6649735404200616,runs/erm_wt2_p091_lr1e-05_s0_t2500
ilm,10.0,0.9090909090909091,1e-05,2500,1,runs/ilm_wt2_p091_lr1e-05_s1_t2500/bh_ilm_p091_lr1e-05_s1_t2500.csv,0.5364182086722299,runs/ilm_wt2_p091_lr1e-05_s1_t2500
erm,10.0,0.9090909090909091,1e-05,2500,1,runs/erm_wt2_p091_lr1e-05_s1_t2500/bh_erm_p091_lr1e-05_s1_t2500.csv,0.674775194419621,runs/erm_wt2_p091_lr1e-05_s1_t2500
ilm,10.0,0.9090909090909091,1e-05,2500,2,runs/ilm_wt2_p091_lr1e-05_s2_t2500/bh_ilm_p091_lr1e-05_s2_t2500.csv,0.5349515072172486,runs/ilm_wt2_p091_lr1e-05_s2_t2500
erm,10.0,0.9090909090909091,1e-05,2500,2,runs/erm_wt2_p091_lr1e-05_s2_t2500/bh_erm_p091_lr1e-05_s2_t2500.csv,0.6637373273508044,runs/erm_wt2_p091_lr1e-05_s2_t2500
ilm,10.0,0.9090909090909091,1e-05,2500,3,runs/ilm_wt2_p091_lr1e-05_s3_t2500/bh_ilm_p091_lr1e-05_s3_t2500.csv,0.5572730793207592,runs/ilm_wt2_p091_lr1e-05_s3_t2500
erm,10.0,0.9090909090909091,1e-05,2500,3,runs/erm_wt2_p091_lr1e-05_s3_t2500/bh_erm_p091_lr1e-05_s3_t2500.csv,0.674085476679504,runs/erm_wt2_p091_lr1e-05_s3_t2500
ilm,10.0,0.9090909090909091,1e-05,2500,4,runs/ilm_wt2_p091_lr1e-05_s4_t2500/bh_ilm_p091_lr1e-05_s4_t2500.csv,0.5359653687126149,runs/ilm_wt2_p091_lr1e-05_s4_t2500
erm,10.0,0.9090909090909091,1e-05,2500,4,runs/erm_wt2_p091_lr1e-05_s4_t2500/bh_erm_p091_lr1e-05_s4_t2500.csv,0.6721347352348809,runs/erm_wt2_p091_lr1e-05_s4_t2500
